business_id,date,avg_sentiment,avg_stars,review_count
-4dYswJy7SPcbcERvitmIg,2007-02-08,0.9102,4.0,1
-4dYswJy7SPcbcERvitmIg,2008-07-27,0.9224,4.0,1
-4dYswJy7SPcbcERvitmIg,2008-11-18,0.9835,5.0,1
-4dYswJy7SPcbcERvitmIg,2009-01-20,0.7243,3.0,1
-4dYswJy7SPcbcERvitmIg,2009-04-20,-0.9938,1.0,1
-4dYswJy7SPcbcERvitmIg,2009-04-21,-0.8886,1.0,1
-4dYswJy7SPcbcERvitmIg,2009-07-02,0.5499,3.0,1
-4dYswJy7SPcbcERvitmIg,2009-10-09,-0.3671,1.0,1
-4dYswJy7SPcbcERvitmIg,2010-02-05,0.6692,4.0,1
-4dYswJy7SPcbcERvitmIg,2010-04-08,-0.9409,1.0,1
-4dYswJy7SPcbcERvitmIg,2010-07-02,0.4946,5.0,1
-4dYswJy7SPcbcERvitmIg,2010-08-16,0.5366,4.0,1
-4dYswJy7SPcbcERvitmIg,2010-10-27,0.1177,3.0,1
-4dYswJy7SPcbcERvitmIg,2011-02-24,0.9654,3.0,1
-4dYswJy7SPcbcERvitmIg,2011-02-27,0.8362,3.0,1
-4dYswJy7SPcbcERvitmIg,2011-05-11,0.9246,3.0,1
-4dYswJy7SPcbcERvitmIg,2011-05-12,-0.8602,2.0,1
-4dYswJy7SPcbcERvitmIg,2011-06-03,-0.128,2.0,1
-4dYswJy7SPcbcERvitmIg,2011-09-13,0.93,4.0,1
-4dYswJy7SPcbcERvitmIg,2011-11-05,0.8388,2.0,1
-4dYswJy7SPcbcERvitmIg,2011-11-06,-0.34,1.0,1
-4dYswJy7SPcbcERvitmIg,2011-11-09,-0.9819,2.0,1
-4dYswJy7SPcbcERvitmIg,2012-06-10,0.7783,1.0,1
-4dYswJy7SPcbcERvitmIg,2012-07-24,0.8046,2.0,1
-4dYswJy7SPcbcERvitmIg,2013-02-25,0.833,4.0,1
-4dYswJy7SPcbcERvitmIg,2013-10-12,0.0767,2.0,1
-4dYswJy7SPcbcERvitmIg,2013-10-16,-0.933,2.0,1
-4dYswJy7SPcbcERvitmIg,2014-03-02,0.7264,4.0,1
-4dYswJy7SPcbcERvitmIg,2014-04-04,-0.9247,1.0,1
-4dYswJy7SPcbcERvitmIg,2014-12-25,-0.7773,1.0,1
-4dYswJy7SPcbcERvitmIg,2015-01-14,0.7251,2.0,1
-4dYswJy7SPcbcERvitmIg,2015-03-06,0.9402,3.0,1
-4dYswJy7SPcbcERvitmIg,2015-04-22,0.731,2.0,1
-4dYswJy7SPcbcERvitmIg,2015-07-22,-0.9289,2.0,1
-4dYswJy7SPcbcERvitmIg,2015-08-10,-0.659,1.0,1
-7GDqSUaXrpC8Ql7nDBxWA,2016-12-21,0.7882,3.0,1
-7GDqSUaXrpC8Ql7nDBxWA,2016-12-29,0.9785,5.0,1
-7GDqSUaXrpC8Ql7nDBxWA,2017-02-04,0.7684,5.0,1
-7GDqSUaXrpC8Ql7nDBxWA,2017-02-05,0.975,5.0,1
-7GDqSUaXrpC8Ql7nDBxWA,2017-02-09,0.9915,5.0,1
-7GDqSUaXrpC8Ql7nDBxWA,2017-02-10,0.9117,5.0,1
-7GDqSUaXrpC8Ql7nDBxWA,2017-02-13,0.8955,5.0,1
-7GDqSUaXrpC8Ql7nDBxWA,2017-02-27,0.7003,5.0,1
-7GDqSUaXrpC8Ql7nDBxWA,2017-03-10,0.9001,5.0,1
